date,tweets,increase,country
01/20/2020,19,0,ALL
01/21/2020,144,125,ALL
01/22/2020,294,150,ALL
01/23/2020,533,239,ALL
01/24/2020,828,295,ALL
01/25/2020,1098,270,ALL
01/26/2020,1376,278,ALL
01/27/2020,1701,325,ALL
01/28/2020,1783,82,ALL
01/29/2020,2182,399,ALL
01/30/2020,2663,481,ALL
01/31/2020,3218,555,ALL
02/01/2020,3616,398,ALL
02/02/2020,3990,374,ALL
02/03/2020,4315,325,ALL
02/04/2020,4634,319,ALL
02/05/2020,4950,316,ALL
02/06/2020,5255,305,ALL
02/07/2020,5616,361,ALL
02/08/2020,5893,277,ALL
02/09/2020,6142,249,ALL
02/10/2020,6392,250,ALL
02/11/2020,6709,317,ALL
02/12/2020,7000,291,ALL
02/13/2020,7258,258,ALL
02/14/2020,7444,186,ALL
02/15/2020,7478,34,ALL
02/16/2020,7655,177,ALL
02/17/2020,7867,212,ALL
02/18/2020,8140,273,ALL
02/19/2020,8398,258,ALL
02/20/2020,8623,225,ALL
02/21/2020,8886,263,ALL
02/22/2020,9167,281,ALL
02/23/2020,9465,298,ALL
02/24/2020,9755,290,ALL
02/25/2020,9958,203,ALL
02/26/2020,10039,81,ALL
02/27/2020,10326,287,ALL
02/28/2020,12194,1868,ALL
02/29/2020,13298,1104,ALL
03/01/2020,14069,771,ALL
03/02/2020,14890,821,ALL
03/03/2020,15716,826,ALL
03/04/2020,16719,1003,ALL
03/05/2020,17808,1089,ALL
03/06/2020,19033,1225,ALL
03/07/2020,20235,1202,ALL
03/08/2020,21297,1062,ALL
03/09/2020,22191,894,ALL
03/11/2020,23490,1299,ALL
03/12/2020,27217,3727,ALL
03/13/2020,34085,6868,ALL
03/14/2020,40375,6290,ALL
03/15/2020,46893,6518,ALL
03/16/2020,55165,8272,ALL
03/17/2020,63794,8629,ALL
03/18/2020,72038,8244,ALL
03/19/2020,80331,8293,ALL
03/20/2020,89087,8756,ALL
03/21/2020,97760,8673,ALL
03/22/2020,106307,8547,ALL
03/23/2020,114365,8058,ALL
03/24/2020,122364,7999,ALL
03/25/2020,129900,7536,ALL
03/26/2020,137209,7309,ALL
03/27/2020,144685,7476,ALL
03/28/2020,157752,13067,ALL
03/29/2020,168990,11238,ALL
03/30/2020,172006,3016,ALL
03/31/2020,178114,6108,ALL
04/01/2020,180264,2150,ALL
04/02/2020,183364,3100,ALL
04/03/2020,189380,6016,ALL
04/04/2020,195530,6150,ALL
04/05/2020,201482,5952,ALL
04/06/2020,206727,5245,ALL
04/07/2020,211965,5238,ALL
04/08/2020,213696,1731,ALL
04/09/2020,214997,1301,ALL
04/10/2020,220272,5275,ALL
04/11/2020,225242,4970,ALL
04/12/2020,230006,4764,ALL
04/13/2020,234942,4936,ALL
04/14/2020,237977,3035,ALL
04/15/2020,242500,4523,ALL
04/16/2020,246746,4246,ALL
04/17/2020,250158,3412,ALL
